0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8947,8515,8446,8437,8390,8191,8170,8040,7375,7362,7336,7239,7227,7140,6970,6902,6850,6747,6596,5728
7297,7285,7282,7255,7248,7241,7222,7140,7053,7045,6930,6862,6578,6567,6528,6451,6293,6271,6122,6047
6781,6727,6591,6578,6567,6556,6432,6420,6393,6343,6293,6253,6221,6215,6047,6016,5809,5756,5728,5558
6228,6228,6193,6156,6036,6012,6012,5976,5969,5930,5893,5882,5849,5756,5633,5616,5558,5533,5330,5292
5829,5824,5783,5775,5773,5713,5693,5646,5633,5558,5558,5556,5547,5497,5396,5223,5150,5108,5059,4413
5459,5432,5400,5399,5389,5371,5318,5248,5245,5212,5168,5127,5123,5078,5008,4913,4787,4648,4458,4413
5067,5063,5053,5012,4998,4983,4981,4923,4902,4873,4771,4725,4718,4698,4648,4603,4516,4458,4413,4323
4771,4753,4743,4715,4713,4684,4650,4631,4614,4571,4526,4458,4458,4458,4452,4424,4413,4413,4410,4035
4526,4520,4518,4510,4496,4492,4487,4470,4458,4458,4458,4458,4458,4413,4413,4413,4279,4262,4260,4086
4413,4413,4413,4413,4413,4413,4396,4330,4315,4309,4279,4278,4277,4247,4240,4152,4121,4089,4086,3913
4256,4251,4247,4240,4240,4240,4215,4121,4121,4116,4089,4089,4089,4086,4086,4023,4015,3948,3940,3723
4089,4089,4086,4078,4046,4023,4023,4015,3948,3948,3943,3940,3940,3908,3850,3723,3723,3723,3558,3558
3850,3850,3850,3850,3731,3723,3723,3723,3723,3723,3723,3668,3637,3558,3558,3558,3558,3558,3558,3558
3676,3668,3668,3637,3637,3597,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558
3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558
3554,3554,3554,3537,3537,3537,3537,3537,3537,3537,3513,3513,3426,3358,3358,3358,3350,3350,3285,3282
3426,3389,3358,3358,3358,3354,3350,3350,3350,3350,3340,3337,3337,3329,3313,3313,3285,3285,3261,3150
3327,3313,3292,3285,3285,3285,3285,3285,3285,3261,3261,3189,3159,3150,3150,3150,3150,3129,3129,3064
3150,3150,3150,3150,3129,3129,3129,3129,3129,3129,3085,3085,3085,3085,3085,3085,3085,3064,3040,2980
3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3064,3064,3064,3040,2980,2980,2980,2959,2959
